month,total.total,timeRange.start,timeRange.end
2008-06-26T00:00:00.000Z,376955360,2008-06-26T00:00:00.000Z,2008-06-27T00:00:00.000Z
2008-06-27T00:00:00.000Z,352542771,2008-06-27T00:00:00.000Z,2008-06-28T00:00:00.000Z
2008-06-28T00:00:00.000Z,312382836,2008-06-28T00:00:00.000Z,2008-06-29T00:00:00.000Z
2008-06-29T00:00:00.000Z,324169925,2008-06-29T00:00:00.000Z,2008-06-30T00:00:00.000Z
2008-06-30T00:00:00.000Z,378270201,2008-06-30T00:00:00.000Z,2008-07-01T00:00:00.000Z
2008-07-01T00:00:00.000Z,365151289,2008-07-01T00:00:00.000Z,2008-07-02T00:00:00.000Z
2008-07-02T00:00:00.000Z,364339913,2008-07-02T00:00:00.000Z,2008-07-03T00:00:00.000Z
2008-07-03T00:00:00.000Z,370439613,2008-07-03T00:00:00.000Z,2008-07-04T00:00:00.000Z
2008-07-04T00:00:00.000Z,349902600,2008-07-04T00:00:00.000Z,2008-07-05T00:00:00.000Z
2008-07-05T00:00:00.000Z,291462357,2008-07-05T00:00:00.000Z,2008-07-06T00:00:00.000Z
2008-07-06T00:00:00.000Z,310146002,2008-07-06T00:00:00.000Z,2008-07-07T00:00:00.000Z
2008-07-07T00:00:00.000Z,361606873,2008-07-07T00:00:00.000Z,2008-07-08T00:00:00.000Z
2008-07-08T00:00:00.000Z,342622272,2008-07-08T00:00:00.000Z,2008-07-09T00:00:00.000Z
2008-07-09T00:00:00.000Z,330076198,2008-07-09T00:00:00.000Z,2008-07-10T00:00:00.000Z
2008-07-10T00:00:00.000Z,319115763,2008-07-10T00:00:00.000Z,2008-07-11T00:00:00.000Z
2008-07-11T00:00:00.000Z,307627300,2008-07-11T00:00:00.000Z,2008-07-12T00:00:00.000Z
2008-07-12T00:00:00.000Z,267133313,2008-07-12T00:00:00.000Z,2008-07-13T00:00:00.000Z
2008-07-13T00:00:00.000Z,287051206,2008-07-13T00:00:00.000Z,2008-07-14T00:00:00.000Z
